,index,dissimvalues,pairtype,subjnum,age
0,within,0.8174489010445574,within,sub-1000,adult
1,boundary,0.5967747380645365,unique,sub-1000,adult
2,within,0.6757301131464346,within,sub-1000,adult
3,boundary,0.7780078071316052,shared,sub-1000,adult
4,within,1.2753150915751248,within,sub-1000,adult
5,boundary,0.3294127477802823,unique,sub-1000,adult
6,within,0.679499577985716,within,sub-1000,adult
7,boundary,0.4968165922794513,unique,sub-1000,adult
8,within,0.43467353467447556,within,sub-1000,adult
9,boundary,0.25903814891439714,shared,sub-1000,adult
10,within,0.7086650133249812,within,sub-1000,adult
11,boundary,0.44309682218665647,shared,sub-1000,adult
12,within,0.5249741718500247,within,sub-1000,adult
13,boundary,1.115844732067375,unique,sub-1000,adult
14,within,0.634201472505316,within,sub-1000,adult
15,boundary,1.096646478936465,unique,sub-1000,adult
16,within,0.9700997615540301,within,sub-1000,adult
17,boundary,0.8569428713283161,shared,sub-1000,adult
18,within,0.7144809638272274,within,sub-1000,adult
19,boundary,0.6710539172748151,unique,sub-1000,adult
20,within,0.9645957754800106,within,sub-1001,adult
21,boundary,0.2755892845103436,unique,sub-1001,adult
22,within,0.8432075819105276,within,sub-1001,adult
23,boundary,0.8410898819843861,shared,sub-1001,adult
24,within,0.620951640808332,within,sub-1001,adult
25,boundary,0.32885771344297965,unique,sub-1001,adult
26,within,0.7415590667146744,within,sub-1001,adult
27,boundary,0.6240071849145764,unique,sub-1001,adult
28,within,0.34463154716520705,within,sub-1001,adult
29,boundary,1.180514222499792,shared,sub-1001,adult
30,within,0.7790887837252195,within,sub-1001,adult
31,boundary,0.3685054708440517,shared,sub-1001,adult
32,within,0.2958374671013301,within,sub-1001,adult
33,boundary,0.8657164176462923,unique,sub-1001,adult
34,within,0.4495636096560013,within,sub-1001,adult
35,boundary,0.5123914528762421,unique,sub-1001,adult
36,within,0.5021495188854421,within,sub-1001,adult
37,boundary,0.7687311248374203,shared,sub-1001,adult
38,within,0.544818362200139,within,sub-1001,adult
39,boundary,0.5668228877965811,unique,sub-1001,adult
40,within,0.9926521332682451,within,sub-1002,adult
41,boundary,0.41895413556317174,unique,sub-1002,adult
42,within,0.7079265368705452,within,sub-1002,adult
43,boundary,0.4109097304017214,shared,sub-1002,adult
44,within,0.6006646336035518,within,sub-1002,adult
45,boundary,0.7809744714155531,unique,sub-1002,adult
46,within,0.5686999846817589,within,sub-1002,adult
47,boundary,0.10801340671060022,unique,sub-1002,adult
48,within,0.5918230743103501,within,sub-1002,adult
49,boundary,1.2824689571053727,shared,sub-1002,adult
50,within,0.3272227104933453,within,sub-1002,adult
51,boundary,0.5413499128823349,shared,sub-1002,adult
52,within,1.1108181247640958,within,sub-1002,adult
53,boundary,1.1212221317314417,unique,sub-1002,adult
54,within,1.004792011397145,within,sub-1002,adult
55,boundary,0.8723053120394026,unique,sub-1002,adult
56,within,0.40179277266223956,within,sub-1002,adult
57,boundary,0.2813142606865062,shared,sub-1002,adult
58,within,0.9209259503226042,within,sub-1002,adult
59,boundary,0.6277975695120988,unique,sub-1002,adult
60,within,1.082070747841379,within,sub-1006,adult
61,boundary,0.553697921026981,unique,sub-1006,adult
62,within,0.47862492112831945,within,sub-1006,adult
63,boundary,0.8659882712481065,shared,sub-1006,adult
64,within,0.5832902695484494,within,sub-1006,adult
65,boundary,0.5849293134904866,unique,sub-1006,adult
66,within,0.7691466477564262,within,sub-1006,adult
67,boundary,0.4419812967476554,unique,sub-1006,adult
68,within,0.33205079980516905,within,sub-1006,adult
69,boundary,0.8751615220146605,shared,sub-1006,adult
70,within,0.7394442045651364,within,sub-1006,adult
71,boundary,0.610142026157696,shared,sub-1006,adult
72,within,0.4448494487837116,within,sub-1006,adult
73,boundary,0.6923388745087888,unique,sub-1006,adult
74,within,1.1631576363518228,within,sub-1006,adult
75,boundary,0.9397148906328252,unique,sub-1006,adult
76,within,0.28672011338924486,within,sub-1006,adult
77,boundary,0.9849266610334774,shared,sub-1006,adult
78,within,0.6286727920833981,within,sub-1006,adult
79,boundary,0.9808485795415862,unique,sub-1006,adult
80,within,1.0439694629062253,within,sub-1007,adult
81,boundary,0.7913224641144093,unique,sub-1007,adult
82,within,0.6199085748306101,within,sub-1007,adult
83,boundary,0.7002317126804278,shared,sub-1007,adult
84,within,0.5415363352838842,within,sub-1007,adult
85,boundary,0.6699633916584113,unique,sub-1007,adult
86,within,0.8668085313365635,within,sub-1007,adult
87,boundary,1.1066106726779565,unique,sub-1007,adult
88,within,0.4843258016015879,within,sub-1007,adult
89,boundary,1.1022939526033375,shared,sub-1007,adult
90,within,0.6173886230989388,within,sub-1007,adult
91,boundary,0.5041836458008034,shared,sub-1007,adult
92,within,0.32340878411928753,within,sub-1007,adult
93,boundary,0.5655131600645928,unique,sub-1007,adult
94,within,0.9605283382794634,within,sub-1007,adult
95,boundary,1.0760731124032659,unique,sub-1007,adult
96,within,0.4539860343338128,within,sub-1007,adult
97,boundary,0.8969990079822576,shared,sub-1007,adult
98,within,1.0500478436746647,within,sub-1007,adult
99,boundary,0.8336692807192924,unique,sub-1007,adult
100,within,0.6683729120774966,within,sub-1009,adult
101,boundary,0.5255772909636679,unique,sub-1009,adult
102,within,0.36085911552541405,within,sub-1009,adult
103,boundary,0.6471076783770214,shared,sub-1009,adult
104,within,0.603550027211853,within,sub-1009,adult
105,boundary,0.6235386875462685,unique,sub-1009,adult
106,within,0.3372456383418373,within,sub-1009,adult
107,boundary,0.7746720205462202,unique,sub-1009,adult
108,within,0.5177415827774368,within,sub-1009,adult
109,boundary,1.2213993747783245,shared,sub-1009,adult
110,within,0.6386176279761266,within,sub-1009,adult
111,boundary,0.413623469888433,shared,sub-1009,adult
112,within,1.317250393554692,within,sub-1009,adult
113,boundary,1.0777594444129692,unique,sub-1009,adult
114,within,0.6957176383802854,within,sub-1009,adult
115,boundary,1.2642283047193836,unique,sub-1009,adult
116,within,0.9479810569274755,within,sub-1009,adult
117,boundary,1.0538356882498243,shared,sub-1009,adult
118,within,0.9373260358915644,within,sub-1009,adult
119,boundary,0.8440955927661278,unique,sub-1009,adult
120,within,0.674541702368759,within,sub-1011,adult
121,boundary,0.3148362736105943,unique,sub-1011,adult
122,within,0.7940288699265001,within,sub-1011,adult
123,boundary,0.47580431672851287,shared,sub-1011,adult
124,within,0.7015104265904721,within,sub-1011,adult
125,boundary,0.7930436162174989,unique,sub-1011,adult
126,within,0.38914328619401206,within,sub-1011,adult
127,boundary,0.8450239027382531,unique,sub-1011,adult
128,within,0.6313752388867683,within,sub-1011,adult
129,boundary,0.5535268693747508,shared,sub-1011,adult
130,within,0.5214887144414262,within,sub-1011,adult
131,boundary,0.8800495318111835,shared,sub-1011,adult
132,within,0.7449945186007232,within,sub-1011,adult
133,boundary,0.6885248932603263,unique,sub-1011,adult
134,within,1.103387419059306,within,sub-1011,adult
135,boundary,1.2074646557338038,unique,sub-1011,adult
136,within,0.4864113436474813,within,sub-1011,adult
137,boundary,0.5506762409977433,shared,sub-1011,adult
138,within,0.8001232551798526,within,sub-1011,adult
139,boundary,0.9150928470489964,unique,sub-1011,adult
140,within,0.9153931735549456,within,sub-1012,adult
141,boundary,0.5258687127546169,unique,sub-1012,adult
142,within,1.0555661427891327,within,sub-1012,adult
143,boundary,0.42388849601691336,shared,sub-1012,adult
144,within,0.5506072144531613,within,sub-1012,adult
145,boundary,0.8371857613455823,unique,sub-1012,adult
146,within,0.8872379823222846,within,sub-1012,adult
147,boundary,0.90278800821551,unique,sub-1012,adult
148,within,0.45407687221799664,within,sub-1012,adult
149,boundary,0.7036341743005994,shared,sub-1012,adult
150,within,0.4999584064567426,within,sub-1012,adult
151,boundary,0.4093306362256991,shared,sub-1012,adult
152,within,0.4220564417612501,within,sub-1012,adult
153,boundary,0.3918456232193882,unique,sub-1012,adult
154,within,0.9666226736387407,within,sub-1012,adult
155,boundary,0.8493910511177756,unique,sub-1012,adult
156,within,0.5227344335691495,within,sub-1012,adult
157,boundary,0.37223664986609806,shared,sub-1012,adult
158,within,0.9683536669560423,within,sub-1012,adult
159,boundary,0.8137659846940034,unique,sub-1012,adult
160,within,1.0578540612995138,within,sub-1015,adult
161,boundary,0.946994990693069,unique,sub-1015,adult
162,within,0.9166620409033812,within,sub-1015,adult
163,boundary,0.5517588078581959,shared,sub-1015,adult
164,within,0.37484488277486205,within,sub-1015,adult
165,boundary,0.2889510664205589,unique,sub-1015,adult
166,within,0.6582443490862933,within,sub-1015,adult
167,boundary,0.6820576849956493,unique,sub-1015,adult
168,within,0.7795117452390806,within,sub-1015,adult
169,boundary,0.9174573685191995,shared,sub-1015,adult
170,within,0.5842199212028367,within,sub-1015,adult
171,boundary,0.3952814789146212,shared,sub-1015,adult
172,within,0.5755100226829253,within,sub-1015,adult
173,boundary,0.7198426879486125,unique,sub-1015,adult
174,within,0.2820087621156483,within,sub-1015,adult
175,boundary,1.1648062959743632,unique,sub-1015,adult
176,within,0.979966203395605,within,sub-1015,adult
177,boundary,0.8809227471623453,shared,sub-1015,adult
178,within,1.2967505563336135,within,sub-1015,adult
